CHR	SNP	gPoint	END	NumberOfSites	Fst	Species	gPoint_c	CHR_IDs	CHR_State	outlier_status
scaffold2	scaffold2:63007500	62992500	63007500	14656	0.621295	Loch Nell C (SCO) vs. Sydkoster C (SWE)	177480000	2	Even	TRUE
scaffold2	scaffold2:87202500	87187500	87202500	14925	0.63609	Loch Nell C (SCO) vs. Sydkoster C (SWE)	201645000	2	Even	TRUE
scaffold2	scaffold2:90967500	90952500	90967500	14963	0.621452	Loch Nell C (SCO) vs. Sydkoster C (SWE)	205410000	2	Even	TRUE
scaffold2	scaffold2:104572500	104557500	104572500	14330	0.661246	Loch Nell C (SCO) vs. Sydkoster C (SWE)	219000000	2	Even	TRUE
scaffold2	scaffold2:109387500	109372500	109387500	13108	0.637937	Loch Nell C (SCO) vs. Sydkoster C (SWE)	223815000	2	Even	TRUE
scaffold2	scaffold2:111217500	111202500	111217500	14983	0.65686	Loch Nell C (SCO) vs. Sydkoster C (SWE)	225645000	2	Even	TRUE
scaffold10	scaffold10:1612500	1597500	1612500	6022	0.670731	Loch Nell C (SCO) vs. Sydkoster C (SWE)	807705000	10	Even	TRUE
scaffold10	scaffold10:2602500	2587500	2602500	7719	0.747025	Loch Nell C (SCO) vs. Sydkoster C (SWE)	808695000	10	Even	TRUE
scaffold10	scaffold10:25027500	25012500	25027500	14893	0.603736	Loch Nell C (SCO) vs. Sydkoster C (SWE)	831075000	10	Even	TRUE
scaffold10	scaffold10:28162500	28147500	28162500	13112	0.621175	Loch Nell C (SCO) vs. Sydkoster C (SWE)	834210000	10	Even	TRUE
scaffold10	scaffold10:12847500	12832500	12847500	14997	0.44228	Sydkoster C  (SWE) vs. Ramsholmen W (SWE)	819045000	10	Even	TRUE
scaffold10	scaffold10:12862500	12847500	12862500	14996	0.348767	Sydkoster C  (SWE) vs. Ramsholmen W (SWE)	819060000	10	Even	TRUE
scaffold1	scaffold1:86317500	86302500	86317500	14986	0.342844	 Sydkoster C (SWE) vs. Kalvö W (SWE) 	86295000	1	Odd	TRUE
scaffold10	scaffold10:11572500	11557500	11572500	14814	0.316622	 Sydkoster C (SWE) vs. Kalvö W (SWE) 	817740000	10	Even	TRUE
scaffold10	scaffold10:25027500	25012500	25027500	14947	0.346703	 Sydkoster C (SWE) vs. Kalvö W (SWE) 	831195000	10	Even	TRUE
scaffold10	scaffold10:25042500	25027500	25042500	14783	0.303437	 Sydkoster C (SWE) vs. Kalvö W (SWE) 	831210000	10	Even	TRUE
